feedstock_name,pathway_name,fuel_product,scenario_name,transport_distance_km,transport_mode,grid_scenario,ci_total_kg_per_mj,reduction_pct
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.04519,50.12000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.04498,50.35000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.00601,93.37000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.00577,93.63000
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.03930,56.62000
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.03896,57.00000
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.04000,55.85000
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.03970,56.18000
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.03930,56.62000
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.03896,57.00000
Miscanthus,Miscanthus → Cellulosic Ethanol,Ethanol,"Central (80 km truck, current grid)",80,truck,current,0.03600,60.26000
Miscanthus,Miscanthus → Cellulosic Ethanol,Ethanol,"Near   (40 km truck, current grid)",40,truck,current,0.03569,60.60000
Miscanthus,Miscanthus → Cellulosic Ethanol,Ethanol,"Far   (160 km truck, current grid)",160,truck,current,0.03662,59.58000
Miscanthus,Miscanthus → Cellulosic Ethanol,Ethanol,"Rail  (400 km rail,  current grid)",400,rail,current,0.03636,59.87000
Miscanthus,Miscanthus → Cellulosic Ethanol,Ethanol,Renewable grid (80 km truck),80,truck,renewable,0.03600,60.26000
Miscanthus,Miscanthus → Cellulosic Ethanol,Ethanol,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.03569,60.60000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,"Central (80 km truck, current grid)",80,truck,current,0.00977,88.90000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,"Near   (40 km truck, current grid)",40,truck,current,0.00971,88.97000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,"Far   (160 km truck, current grid)",160,truck,current,0.00991,88.74000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,"Rail  (400 km rail,  current grid)",400,rail,current,0.00985,88.81000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,Renewable grid (80 km truck),80,truck,renewable,0.00977,88.90000
Miscanthus,Soybean Oil → HEFA-SAF,SAF,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.00970,88.97000
Miscanthus,Camelina → HEFA-SAF,SAF,"Central (80 km truck, current grid)",80,truck,current,0.00908,89.68000
Miscanthus,Camelina → HEFA-SAF,SAF,"Near   (40 km truck, current grid)",40,truck,current,0.00901,89.76000
Miscanthus,Camelina → HEFA-SAF,SAF,"Far   (160 km truck, current grid)",160,truck,current,0.00922,89.53000
Miscanthus,Camelina → HEFA-SAF,SAF,"Rail  (400 km rail,  current grid)",400,rail,current,0.00916,89.59000
Miscanthus,Camelina → HEFA-SAF,SAF,Renewable grid (80 km truck),80,truck,renewable,0.00908,89.68000
Miscanthus,Camelina → HEFA-SAF,SAF,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.00901,89.76000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Central (80 km truck, current grid)",80,truck,current,0.06380,27.50000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Near   (40 km truck, current grid)",40,truck,current,0.06366,27.66000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Far   (160 km truck, current grid)",160,truck,current,0.06408,27.18000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Rail  (400 km rail,  current grid)",400,rail,current,0.06396,27.32000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,Renewable grid (80 km truck),80,truck,renewable,0.06380,27.50000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,"Optimistic (40 km, renewable grid)",40,truck,renewable,0.06366,27.66000
