Feedstock,Pathway,Fuel,Stage,CI (kg CO2e/MJ),Share of Total %
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,3. Transport,0.00061,1.62201
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,4. Preprocessing,0.00047,1.23958
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,5. Conversion,0.03200,84.39709
Switchgrass,Miscanthus → Cellulosic Ethanol,Ethanol,6. Combustion,0.00000,0.00000
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,1. Cultivation,0.00190,4.84187
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,2. Harvesting,0.00103,2.62575
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,3. Transport,0.00069,1.76068
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,4. Preprocessing,0.00088,2.23138
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,5. Conversion,0.03480,88.54286
Miscanthus,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,6. Combustion,0.00000,0.00000
Corn Grain,Miscanthus → Cellulosic Ethanol,Ethanol,1. Cultivation,0.00601,14.99289
Corn Grain,Miscanthus → Cellulosic Ethanol,Ethanol,2. Harvesting,0.00092,2.28912
Corn Grain,Miscanthus → Cellulosic Ethanol,Ethanol,3. Transport,0.00061,1.53524
Corn Grain,Miscanthus → Cellulosic Ethanol,Ethanol,4. Preprocessing,0.00052,1.29809
Corn Grain,Miscanthus → Cellulosic Ethanol,Ethanol,5. Conversion,0.03200,79.88217
Corn Grain,Miscanthus → Cellulosic Ethanol,Ethanol,6. Combustion,0.00000,0.00000
Camelina,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,1. Cultivation,0.00389,9.62290
Camelina,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,2. Harvesting,0.00103,2.55357
Camelina,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,3. Transport,0.00069,1.71228
Camelina,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,4. Preprocessing,0.00000,0.00247
Camelina,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,5. Conversion,0.03480,86.10877
Camelina,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,6. Combustion,0.00000,0.00000
Soybean Oil,Miscanthus → Cellulosic Ethanol,Ethanol,1. Cultivation,0.00742,17.99748
Soybean Oil,Miscanthus → Cellulosic Ethanol,Ethanol,2. Harvesting,0.00092,2.22422
Soybean Oil,Miscanthus → Cellulosic Ethanol,Ethanol,3. Transport,0.00061,1.49170
Soybean Oil,Miscanthus → Cellulosic Ethanol,Ethanol,4. Preprocessing,0.00028,0.66945
Soybean Oil,Miscanthus → Cellulosic Ethanol,Ethanol,5. Conversion,0.03200,77.61715
Soybean Oil,Miscanthus → Cellulosic Ethanol,Ethanol,6. Combustion,0.00000,0.00000
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,1. Cultivation,0.00440,10.62090
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,2. Harvesting,0.00103,2.48939
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,3. Transport,0.00069,1.66924
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,4. Preprocessing,0.00053,1.27605
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,5. Conversion,0.03480,83.94442
Switchgrass,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,6. Combustion,0.00000,0.00000
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,1. Cultivation,0.00195,4.55012
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,2. Harvesting,0.00109,2.54938
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,3. Transport,0.00073,1.71126
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,4. Preprocessing,0.00056,1.30737
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,5. Conversion,0.03850,89.88187
Corn Stover,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,6. Combustion,0.00000,0.00000
Miscanthus,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,1. Cultivation,0.00132,3.04734
Miscanthus,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,2. Harvesting,0.00071,1.65209
Miscanthus,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,3. Transport,0.00048,1.10833
Miscanthus,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,4. Preprocessing,0.00061,1.40451
Miscanthus,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,5. Conversion,0.04010,92.78541
Miscanthus,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,6. Combustion,0.00000,0.00000
Corn Grain,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,1. Cultivation,0.00676,15.40373
Corn Grain,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,2. Harvesting,0.00103,2.35262
Corn Grain,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,3. Transport,0.00069,1.57753
Corn Grain,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,4. Preprocessing,0.00059,1.33361
Corn Grain,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,5. Conversion,0.03480,79.33251
Corn Grain,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,6. Combustion,0.00000,0.00000
Camelina,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,1. Cultivation,0.00269,6.12013
Camelina,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,2. Harvesting,0.00071,1.62324
Camelina,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,3. Transport,0.00048,1.08898
Camelina,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,4. Preprocessing,0.00000,0.00227
